code;libelle;definition
PT;POINT TECHNIQUE;""
ST;SITE TECHNIQUE;""
SF;SITE UTILISATEUR FINAL;""
SE;SITE EMISSION;""
JX;DISJONCTION;Positionner un nœud de type disjonction lorsqu un cheminement se separe pour former par exemple un Y, sans qu il y ait pour autant de point technique physique au niveau de la disjonction (pas de manchonnage, pas de chambre, ...). 
SH;SITE FTTH COMPLEXE ;Immeuble raccorde a un reseau FTTH et accueillant notamment un ou des PBI
SC;SITE TECHNIQUE COMPLEXE ;Site technique accueillant d autres types d objets (PT, SE) sur le meme nœud. 
PC;POINT TECHNIQUE COMPLEXE ;Noeud accueillant un point technique principal complete d autres objets (autres PT, SE). Par exemple un PT appui + un PT traverse. 
EC;SITE EMISSION COMPLEXE;Noeud accueillant plusieurs sites d emission. Un site d emission correspondant a la notion de support pour l ANFR, il pourrait s agir de supports complexes sur un même support principal. 
SP;SPECIFIQUE;A reserver a des cas de noeuds non traites par les autre types de nœuds. 
