code;libelle;definition
NRA;NŒUD RACCORDEMENT D ABONNES;""
NRAHD;NŒUD RACCORDEMENT D ABONNES - HAUT DEBIT;""
NRAMED;NŒUD RACCORDEMENT D ABONNES - MONTEE EN DEBIT;""
NRAZO;NŒUD RACCORDEMENT D ABONNES - ZONE D OMBRE;""
SRP;SOUS-REPARTITEUR CUIVRE PRIMAIRE;""
SRS;SOUS-REPARTITEUR CUIVRE SECONDAIRE;""
SRT;SOUS-REPARTITEUR CUIVRE TERTIAIRE;""
NRO;NŒUD RACCORDEMENT OPTIQUE;""
SRO;SOUS-REPARTITEUR OPTIQUE;""
SROL;SOUS-REPARTITEUR OPTIQUE COLOCALISE;Sous-repartiteur localise dans le NRO. 
SROS;SOUS-REPARTITEURS OPTIQUES COLOCALISES;Sous-repartiteurs optiques colocalises. 
BRASSAGE;SITE DE BRASSAGE;Site non prevu pour heberger des equipements actifs (surtout longue distance)
CLIENT;SITE CLIENT;Site entreprise ou administration qui n est pas un site utilisateur final (SUF). 
FTTH;SITE FTTH AVEC PBI;Site technique qui accueille des sites utilisateurs finaux (SUF). On modélise un site technique FTTH principalement pour les habitats collectifs avec PBI (PBO Immeuble) ou PMI. 
HEBERG;SITE HEBERGEMENT;Site d hebergement d equipements actifs qui n est pas un NRO (hors architecture FTTH). 
